,asin,url,title,seller,price,stars,ratings
10,B0C1GKQ79V,https://www.amazon.in/dp/B0C1GKQ79V,"Redmi Note 12 (Ice Blue, 6GB RAM, 64GB Storage)",Darshita Mobiles,11999,,379 ratings
11,B0C9J9CZR6,https://www.amazon.in/dp/B0C9J9CZR6,Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,#GreenMobiles,13499,,"7,556 ratings"
12,B0B4F2TTTS,https://www.amazon.in/dp/B0B4F2TTTS,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",STPL Exclusive Online,10999,,"29,787 ratings"
13,B0C788SHHC,https://www.amazon.in/dp/B0C788SHHC,"realme narzo 60 5G (Mars Orange,8GB+128GB) 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger",Darshita Etel,17999,,"4,299 ratings"
14,B0BZCSNTT4,https://www.amazon.in/dp/B0BZCSNTT4,"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,16490,,"13,319 ratings"
15,B0B4F2XCK3,https://www.amazon.in/dp/B0B4F2XCK3,"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",STPL Exclusive Online,12999,,"29,787 ratings"
16,B09WQY65HN,https://www.amazon.in/dp/B09WQY65HN,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",Darshita Electronics,17999,,"140,270 ratings"
17,B0CDXKF7KM,https://www.amazon.in/dp/B0CDXKF7KM,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Purple,Appario Retail Private Ltd,12599,,"1,326 ratings"
18,B0CGDQRR9Y,https://www.amazon.in/dp/B0CGDQRR9Y,"realme narzo 60X 5G（Stellar Green,6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,14499,,"4,021 ratings"
19,B0CDXHYHZ6,https://www.amazon.in/dp/B0CDXHYHZ6,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Grey,Appario Retail Private Ltd,12599,,"1,326 ratings"
20,B0CHJPZXX5,https://www.amazon.in/dp/B0CHJPZXX5,itel P55 5G | Dimensity 6080 | 12GB* RAM+128GB ROM with Memory Fusion| 50MP AI Dual Rear Camera| 5000mAh Battery | 2 Years Warranty | Galaxy Blue,Appario Retail Private Ltd,10499,,"1,046 ratings"
21,B0BQ3RC28F,https://www.amazon.in/dp/B0BQ3RC28F,Redmi Note 12 5G Frosted Green 4GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,Darshita Mobiles,15499,,"9,076 ratings"
22,B0BZCSSNV7,https://www.amazon.in/dp/B0BZCSSNV7,"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,16490,,"13,319 ratings"
23,B0C9J97S7Q,https://www.amazon.in/dp/B0C9J97S7Q,Redmi 12 5G Jade Black 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
24,B0CJSNDYR2,https://www.amazon.in/dp/B0CJSNDYR2,"OPPO A18 (Glowing Blue, 4GB RAM, 128GB Storage) | 6.56"" HD 90Hz Waterdrop Display | 5000 mAh Battery with No Cost EMI/Additional Exchange Offers",Appario Retail Private Ltd,11499,,17 ratings
25,B07WHSR1NR,https://www.amazon.in/dp/B07WHSR1NR,"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box",Darshita Etel,12999,,"18,645 ratings"
26,B07WFP331D,https://www.amazon.in/dp/B07WFP331D,"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,15999,,"11,598 ratings"
27,B07WGPKSG8,https://www.amazon.in/dp/B07WGPKSG8,"iQOO Z7s 5G by vivo (Pacific Night, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,16999,,"11,598 ratings"
28,B09WQYFLRX,https://www.amazon.in/dp/B09WQYFLRX,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",Darshita Electronics,17999,,"140,269 ratings"
29,B0C9JFM6X6,https://www.amazon.in/dp/B0C9JFM6X6,Redmi 12 5G Moonstone Silver 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
30,B07WFNTGLL,https://www.amazon.in/dp/B07WFNTGLL,"iQOO Z7s 5G by vivo (Norway Blue, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,16999,,"11,598 ratings"
31,B0C1GJYYY1,https://www.amazon.in/dp/B0C1GJYYY1,"Redmi Note 12 (Sunrise Gold, 6GB RAM, 64GB Storage)",Darshita Mobiles,11999,,379 ratings
32,B0B4F2TTTS,https://www.amazon.in/dp/B0B4F2TTTS,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",STPL Exclusive Online,10999,,"29,787 ratings"
33,B0C9JFBGSJ,https://www.amazon.in/dp/B0C9JFBGSJ,Redmi 12 5G Pastel Blue 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
34,B0C9J97S7Q,https://www.amazon.in/dp/B0C9J97S7Q,Redmi 12 5G Jade Black 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
35,B0C9JFWBH7,https://www.amazon.in/dp/B0C9JFWBH7,Redmi 12 5G Jade Black 6GB RAM 128GB ROM,Darshita Mobiles,13499,,"7,556 ratings"
36,B07WHS7MZ4,https://www.amazon.in/dp/B07WHS7MZ4,"iQOO Z7s 5G by vivo (Norway Blue, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,15999,,"11,598 ratings"
37,B0C9J9CZR6,https://www.amazon.in/dp/B0C9J9CZR6,Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,#GreenMobiles,13499,,"7,556 ratings"
